Job_Title,Company_name,Job_location,Company_Experience,Job_skills
Deputy Manager - Production,ReNew Power,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",8-12 Yrs,"['Training', 'Renewable energy', 'Senior management', 'Staffing', 'Solar energy', 'Power sector', 'Workflow', 'wind energy']"
Cell Prod Professional,ReNew Power,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-8 Yrs,"['Material management', 'CTQ', 'Root cause analysis', 'Automation', 'Data analysis', 'Renewable energy', 'Manufacturing process', 'Shop floor']"
Senior Engineer / Engineer - Production - Solar Cell,ReNew Power,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",6-8 Yrs,"['Material management', 'CTQ', 'Root cause analysis', 'Automation', 'Data analysis', 'Renewable energy', 'Manufacturing process', 'Shop floor']"
Quantity Surveyor,Nobroker Technologies Solutions (NoBroker),"Hyderabad, Telangana, Pune, Maharashtra, Delhi / NCR",1-5 Yrs,"['Civil Project', 'Quantity Surveying', 'QS', 'Civil Construction', 'Construction', 'Quantity', 'Survey', 'Project']"
Commercial Manager - Data Centres,CIMIC Group,"Hyderabad, Telangana",15-20 Yrs,"['Commercial', 'Contract Management', 'Billing', 'Data Center', 'Management', 'Commercial management', 'Center', 'Contracts']"
Construction Manager - Data Centres,CIMIC Group,"Hyderabad, Telangana",8-13 Yrs,"['Project Execution', 'Construction Management', 'Project Monitoring', 'Project Control', 'Project Planning', 'Site Management', 'Construction', 'Management']"
Junior Estimator For Saudi Arabia location,Suntech Engineers,"Kolkata, Hyderabad, Pune, Ahmedabad, Chennai, Saudi Arabia, Bengaluru, Delhi / NCR, Mumbai (All Areas)",5-10 Yrs,"['Estimator', 'Cost Estimation', 'fire alarm', 'TCF', 'Estimation', 'Cost Control', 'SOW', 'temporary construction facilities']"
Senior Estimator For Saudi Arabia Location,Suntech Engineers,"Kolkata, Hyderabad, Pune, Ahmedabad, Chennai, Saudi Arabia, Bengaluru, Delhi / NCR, Mumbai (All Areas)",12-18 Yrs,"['Estimator', 'cost analysis', 'fire alarm', 'fire fighting', 'Estimation', 'TCF', 'Cost Control', 'SOW']"
"DevOps+Python Engineer, Senior I (Hyderabad)",Synopsys,"Hyderabad/ Secunderabad, Telangana",8-13 Yrs,"['Jenkins', 'Automation', 'Devops', 'Python', 'Perl', 'Senior']"
Maintenance-Plumber,Marriott,Hyderabad/Secunderabad,1-4 Yrs,"['Supervisor', 'C', 'Safety training', 'Senior Executive', 'Inspection', 'Management', 'Training', 'Supervision']"
Geotechnical Designers - RCC Structures,Nagarjuna Construction Company (NCC),Hyderabad/Secunderabad,4-8 Yrs,"['Laboratory Investigations', 'Slope Stability Analysis', 'Geotechnical Design', 'Open and Pile Foundations', 'Plaxis', 'Open', 'Investigations', 'Geotechnical']"
HVAC Technician & Supervisor & Engineer Need To Work in Dubai&Abudhabi,Dubai FM,"Kolkata, Vijayawada, Andhra Pradesh, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",6-11 Yrs,"['HVAC', 'Utility', 'Air Conditioning', 'Heat Ventilation', 'Pumps', 'Air Compressor', 'Purifiers', 'Chillers']"
Site engineer-Self O&M_IC2,ReNew Power,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-9 Yrs,"['Material management', 'SAP', 'Kaizen', 'Renewable energy', 'MIS', 'Solar energy', 'Turbine', 'wind energy']"
Production - Solar Cells,ReNew Power,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-6 Yrs,"['PPC', 'Minitab', 'Renewable energy', 'Process improvement', 'Cost reduction projects', 'MS Office', 'Continuous improvement', 'Raw material']"
Procurement Engineer (Wind- Self O&M),ReNew Power,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-7 Yrs,"['MIS reporting', 'Procurement', 'Custom clearance', 'Renewable energy', 'Solar energy', 'wind energy', 'Asset management', 'SCM']"
Modeller Professional,VHS Engineering,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-5 Yrs,"['Parametric Modeling', 'Mesh Modeling', 'Surface Modeling', '3D Modeling', 'CAD (Computer-Aided Design)', '3D Model', 'Modeling', 'CAD']"
Checker Professional,VHS Engineering,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-5 Yrs,"['Audit', 'Accuracy', 'Inspection', 'Quality Assurance', 'Quality Control', 'Testing', 'Control', 'Assurance']"
Team Lead - Maintenance (Module)_DM,ReNew Power,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",6-8 Yrs,"['HVAC', 'Automation', 'SAP', 'Spare parts', 'Team management', 'Renewable energy', 'Pumps', 'wind energy']"
Team Member-Production (Module)_IC2,ReNew Power,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4-6 Yrs,"['Quality standards', 'Renewable energy', 'Production planning', 'Customer satisfaction', 'Visual management', 'Shop floor management', 'Solar energy', 'Inventory control']"
Project Land Manager_SM,ReNew Power,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-8 Yrs,"['Due diligence', 'Renewable energy', 'Solar energy', 'Legal', 'Power sector', 'Cross functional coordination', 'wind energy', 'Asset management']"
Quantity Surveyor,Nordic Intent,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-10 Yrs,"['Relationship management', 'Construction', 'Excel', 'AutoCAD', 'Team development', 'Quantity surveying', 'Cost management', 'Cost estimation']"
Shift Operator,CN Water Systems,"Indore, Madhya Pradesh, Hyderabad/ Secunderabad, Telangana, Pune, Maharashtra",0-2 Yrs,"['Water System', 'Water Treatment Plant', 'Pharmaceutical Production', 'GMP', 'Mechanical Engineering', 'Chemical Engineering', 'Water Quality', 'Production']"
