Job_Title,Company_name,Job_location,Company_Experience,Job_skills
Senior Engineer - Machine Learning,KnowledgeWorks Global (KGL),"Chennai, Tamil Nadu(Kilpauk)",3-8 Yrs,"['NLP', 'Machine Learning', 'MVC Architecture', 'Tensorflow', 'Pytorch', 'Natural Language Processing', 'Transformers', 'LLM']"
Machine Learning Developer,Digit Insurance,Bengaluru,5-8 Yrs,"['Python Development', 'fast API', 'flask', 'Development', 'API', 'Machine', 'Machine learning', 'Python']"
Machine Learning Developer,Wissen Infotech,Hybrid - Bengaluru,5-7 Yrs,"['Nltk', 'Pytorch', 'Opencv', 'Gensim', 'Python', 'Cnn', 'Rnn', 'Docker']"
Machine Learning Engineer,Digital Triumph,Chennai(Sholinganallur),5-10 Yrs,"['Machine Learning', 'MLOPs', 'Restful API', 'Computer Vision', 'Deep Learning', 'Gcp Cloud', 'Python', 'Kubernetes']"
Machine Learning Engineer / Data Scientist,Delta Hr Consultancy,Hybrid - Pune,5-9 Yrs,"['deep learning', 'python', 'tensorflow', 'nlp', 'Machine Learning', 'Linux', 'Pandas', 'keras']"
Machine Learning Developer,Cybage,"Pune, Maharashtra",6-8 Yrs,"['Machine Learning', 'Java', 'Logistic Regression', 'Machine Learning Developer', 'XgBoost', 'SVM', 'NLP algorithm', 'Python']"
Machine Learning Engineer,"Qualcomm Technologies, Inc",Hyderabad/Secunderabad,2-4 Yrs,"['Electrical engineering', 'Computer science', 'Computer vision', 'C++', 'Usage', 'Coding', 'Staffing', 'Machine learning']"
Data Scientist - Machine Learning,Digit Insurance,Bengaluru,5-8 Yrs,"['deep learning', 'data analysis using SQL.', 'Machine Learning', 'FastAPI/Flask', 'Python', 'Analysis', 'Data analysis', 'Data']"
Artificial Intelligence & Machine Learning Developer,Era University,"Lucknow, Uttar Pradesh",2-5 Yrs,"['Data Science', 'Python', 'pandas', 'Matplotlib', 'Computer vision', 'OpenCV', 'Regression/Classifications', 'Numpy']"
Machine Learning Lead,Zycus Infotech,"Hybrid - Mumbai, Maharashtra, Pune, Maharashtra, Bengaluru, Karnataka",3-6 Yrs,"['Natural Language Processing', 'Computer Vision', 'Machine Learning', 'Opencv', 'Image Processing', 'Machine', 'Computer', 'Process']"
AM - Data Science ( Machine learning ),Leading consulting firm,"Hybrid - Pune, Bangalore Rural, Karnataka",7-10 Yrs,"['Machine learning', 'SQL.', 'Python', 'Machine', 'Science', 'SQL', 'Data', 'Ams']"
Machine Learning Engineer,GrayMatter,Hybrid - Bengaluru,4-8 Yrs,"['Pyspark', 'Github', 'Azure Databricks', 'Machine Learning', 'Python', 'Machine', 'Microsoft Azure']"
Machine Learning Engineer,Healthifyme,Bangalore/Bengaluru,2-6 Yrs,"['deep learning', 'Publishing', 'Data management', 'Machine learning', 'Calculus', 'Forecasting', 'YARN', 'SQL']"
Machine Learning Engineer,Coursera,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4-5 Yrs,"['Computer vision', 'C++', 'MySQL', 'Machine learning', 'System design', 'test driven development', 'Open source', 'SQL']"
Machine Learning Engineer and Data Scientist,Xcellence It,Surat,2-6 Yrs,"['Computer science', 'Cloud computing', 'Data analysis', 'data science', 'GCP', 'Artificial Intelligence', 'Machine learning', 'Natural language processing']"
Machine Learning Engineer/Data Scientist,Innowise,Pune,2-2 Yrs,"['Data analysis', 'data science', 'KPI', 'Artificial Intelligence', 'Project management', 'Machine learning', 'Manager Technology', 'Business case']"
Lead Data Scientist - Generative AI and Machine Learning,HCLTech,"Chennai, Tamil Nadu",7-10 Yrs,"['Data Science', 'Ai Algorithms', 'Machine Learning', 'Tensorflow', 'Pytorch', 'Keras', 'Data', 'Algorithms']"
Senior Analyst (ML) / Machine Learning Engineer,Tiger Analytics,"Hybrid - Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",3-6 Yrs,"['python', 'ML Ops', 'Machine Learning', 'gcp', 'Deployment', 'AWS', 'Ml Pipelines', 'azure']"
Machine Learning Engineer - Fintech (3+ years),Crescendo Global Leadership Hiring India,Remote,3-8 Yrs,"['Deployment', 'Machine Learning', 'Python', 'Data Science', 'Predictive Modeling', 'Docker', 'Kubernetes', 'Science']"
Machine Learning Engineer,Infertalents Global Solutions Pte Ltd,Remote,2-6 Yrs,"['Tensorflow', 'Pytorch', 'Natural Language Processing', 'Scikit-Learn', 'Python', 'Pandas', 'Spacy', 'Gensim']"
Ml Engineer/ Machine learning Engineer,Technocruitx Universal Services,"Hybrid - Pune, Maharashtra, Gurugram, Haryana, Bengaluru, Karnataka",5-10 Yrs,"['Agile Methodology', 'ML Ops', 'Advanced Python', 'Machine Learning', 'Devops', 'Tensorflow', 'Oops Development', 'Oops Programming']"
Data scientist - Gurgaon - Python / Machine Learning / Hadoop,A reputed MNC,Gurgaon/Gurugram,3-7 Yrs,"['python', 'Data science', 'data scientist', 'Machine Learning', 'Data', 'Machine', 'Science', 'Hadoop']"
Data scientist - Gurgaon - Python / Machine Learning  (BIG DATA),A reputed MNC,Gurgaon/Gurugram,3-7 Yrs,"['python', 'BIG DATA', 'Data science', 'data scientist', 'Machine Learning', 'Data', 'Science', 'Machine']"
Data Scientist / Advanced Analytics - Machine Learning,E2E Infoware,"Chennai, Bangalore/Bengaluru",1-5 Yrs,"['advanced analytics', 'deep learning', 'Artificial Intelligence', 'R Programming', 'Machine learning', 'Python', 'Program', 'Data analytics']"
Machine Learning Engineer,iTech India,Chennai,3-7 Yrs,"['Pytorch', 'Huggingface', 'Computer Vision', 'Machine Learning', 'Python', 'Vision', 'Computer', 'Machine']"
Deputy Manager / Assistant Lead - Machine Learning,_VOIS,Pune,5-8 Yrs,"['Python', 'algorithms', 'java', 'data modeling', 'scala', 'software engineering', 'big data', 'data engineering']"
Machine Learning Operations Engineer (MLOps),Openprovider,Mumbai,2-3 Yrs,"['Automation', 'Linux', 'GCP', 'Cloud Services', 'Invoice processing', 'ISO 27001', 'Machine learning', 'TCP/IP']"
Machine Learning Engineer,CGI,Pune,6-8 Yrs,"['Automation', 'Product engineering', 'Backend', 'GIT', 'CGI', 'Coding', 'Machine learning', 'digital transformation']"
Lead Research Engineer - Machine Learning and AI,Siemens,Bangalore/Bengaluru,1-2 Yrs,"['C++', 'Medical imaging', 'Diagnostics', 'Machine learning', 'Healthcare', 'Research', 'biomedical', 'Operations']"
Machine Learning Engineer,Manappuram Finance (MAFIL),"Thrissur/ Trichur, Kerala",5-10 Yrs,"['Java', 'C++', 'MACHINE LEARNING FRAMEWORKS', 'Python', 'Machine Learning Algorithms', 'Framework', 'Machine learning', 'Machine']"
Senior Machine Learning Engineer,Prudential Plc,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-7 Yrs,"['Computer science', 'Cloud computing', 'Automation', 'Manager Quality Assurance', 'Machine learning', 'JSON', 'Monitoring', 'SQL']"
Senior Machine Learning Engineer,Microsoft,Bangalore/Bengaluru,4-8 Yrs,"['deep learning', 'data science', 'Machine learning', 'Deployment', 'Data quality', 'Natural language processing', 'microsoft', 'Troubleshooting']"
Senior Machine Learning Engineer,Deliveroo,Hyderabad/Secunderabad,5-10 Yrs,"['Data analysis', 'Bidding', 'Machine learning', 'Agile', 'Healthcare', 'Application development', 'Monitoring', 'Analytics']"
Senior Staff Engineer - Machine Learning,Freshworks,Bangalore/Bengaluru,3-7 Yrs,"['ASR', 'Computer vision', 'Software design', 'Machine learning', 'Information retrieval', 'Customer service', 'Customer engagement', 'Distribution system']"
Machine Learning Scientist,Axa Xl,"Gurgaon/Gurugram, Bangalore/Bengaluru",5-9 Yrs,"['Machine Learning', 'Data analysis', 'Logistic Regression', 'Factor Analysis', 'Machine Learning Algorithms', 'Azure Databricks', 'Machine Learning Scientist', 'Data mining']"
Principal Machine Learning Engineer,Microsoft,Bangalore/Bengaluru,7-11 Yrs,"['Training', 'deep learning', 'data science', 'Machine learning', 'Data quality', 'Natural language processing', 'Research', 'microsoft']"
Machine Learning Engineer and MLOP/Cloud engineer,Conneqt,Bangalore/Bengaluru,5-6 Yrs,"['GIT', 'data science', 'OOPS', 'devops', 'Machine learning', 'Cloud', 'Agile', 'Cost']"
Machine Learning Engineer,Uniphore Software Systems,"Chennai, Bangalore/Bengaluru",7-10 Yrs,"['Automation', 'Data management', 'Talent acquisition', 'Machine learning', 'Performance testing', 'Packaging', 'Python', 'Management']"
Software Engineer (Python Programming and Machine Learning),Netapp,Bangalore/Bengaluru,8-12 Yrs,"['Python Programming', 'RESTful web services', 'CSS frameworks', 'object-oriented design', 'Django', 'JavaScript', 'HTML', 'Machine Learning']"
Machine Learning Engineer,Aditi Consulting,Bengaluru,3-8 Yrs,"['ML', 'Python', 'SQL', 'AWS', 'Machine', 'Machine learning']"
Data Scientist - Image Recognition/Machine Learning,CARBYNETECH,Hyderabad/Secunderabad,5-10 Yrs,"['Machine Learning', 'Tensorflow', 'Artificial Intelligence', 'Data Management', 'Image Recognition', 'Deep Learning', 'Pig', 'Pytorch']"
Data Scientist - Machine Learning / APICS,CARBYNETECH,Hyderabad/Secunderabad,3-8 Yrs,"['Machine Learning', 'Data Science', 'R', 'NLP', 'Neural networks', 'Artificial Intelligence', 'Deep Learning', 'Python']"
Data Scientist (Machine Learning / AI),Som Imaging Informatics Pvt. Ltd.,Kolkata,5-8 Yrs,"['deep learning', 'Team management', 'data science', 'Neural networks', 'Machine learning', 'Programming', 'Python', 'Team']"
Senior Machine Learning Analyst / Machine Learning Scientist,Axa Xl,"Gurgaon/Gurugram, Silokhera",4-6 Yrs,"['Machine Learning', 'R', 'spaCy', 'NLP', 'PyTorch', 'Data processing', 'Keras', 'SQL']"
