Job_Title,Company_name,Job_skills,Job_location,Company_Experience
Sales Executive/Sales Representative/Business Development Executive,Innovative Digital Marketing,"['Sales', 'Relationship management', 'Business management', 'Business Development', 'BRM', 'Sales management', 'CRM', 'Relationship']",Delhi / NCR,0-2 Yrs
Medical Sales Representative,Panacea Biotec,"['Sales And Marketing', 'Territory Sales Management', 'Territory Management', 'Pharma Marketing', 'Pharmaceutical Sales', 'Sales', 'Pharmaceutical', 'Territory sales']",Remote,2-4 Yrs
Medical Sales Representative,Panacea Biotec,"['Sales And Marketing', 'Territory Sales Management', 'Territory Management', 'Pharma Marketing', 'Pharmaceutical Sales', 'Sales', 'Pharmaceutical', 'Territory sales']",Remote,2-4 Yrs
Medical Sales Representative,Panacea Biotec,"['Sales And Marketing', 'Territory Sales Management', 'Territory Management', 'Pharma Marketing', 'Pharmaceutical Sales', 'Sales', 'Pharmaceutical', 'Territory sales']",Remote,2-4 Yrs
Medical Sales Representative,Panacea Biotec,"['Sales And Marketing', 'Territory Sales Management', 'Territory Management', 'Pharma Marketing', 'Pharmaceutical Sales', 'Medical', 'Sales', 'Medical Sales']",Remote,2-4 Yrs
Medical Sales Representative,Panacea Biotec,"['Sales And Marketing', 'Territory Sales Management', 'Territory Management', 'Pharma Marketing', 'Pharmaceutical Sales', 'Sales', 'Medical Sales', 'Medical']",Remote,2-4 Yrs
Medical Sales Representative,Panacea Biotec,"['Sales And Marketing', 'Territory Sales Management', 'Territory Management', 'Pharma Marketing', 'Pharmaceutical Sales', 'Pharmaceutical', 'Sales', 'Management']",Remote,2-4 Yrs
Medical Sales Representative,Panacea Biotec,"['Sales And Marketing', 'Territory Sales Management', 'Territory Management', 'Pharma Marketing', 'Pharmaceutical Sales', 'Sales', 'Pharmaceutical', 'Medical Sales']",Remote,2-4 Yrs
Medical Sales Representative,Panacea Biotec,"['Sales And Marketing', 'Territory Sales Management', 'Territory Management', 'Pharma Marketing', 'Pharmaceutical Sales', 'Sales', 'Pharmaceutical', 'Territory sales']",Remote,2-4 Yrs
Sales & Marketing - Executive/Manager (Field Profile),Sona Papers,"['Outside Sales', 'B2C Sales', 'Sales And Marketing', 'Direct Sales', 'Field Marketing', 'Sales Executive Activities', 'B2B Marketing', 'Direct Marketing']","Mumbai, Maharashtra(Lower Parel), Hyderabad(Basheer Bagh), Bengaluru(BTM Layout)",2-7 Yrs
Business Development Executive,Makro Group,"['Lead generation', 'Sales', 'Networking', 'Email marketing', 'Pharma', 'Market research', 'Clinical research', 'Business Development Executive']",Hyderabad/Secunderabad,0-1 Yrs
Medical Representative / Sales Executive,Subhag Healthtech,"['Relationship management', 'Surgical', 'Product promotion', 'Diagnostics', 'Pharma', 'Consulting', 'Sales promotion', 'Channel distribution']",Bangalore/Bengaluru,3-8 Yrs
Executive / Asst. Manager PR,P. D Hinduja Hospital &amp;amp;amp;amp; Medical Research Centre,"['Contract Supervisor', 'Purchase Executive', 'Payroll', 'Pharma', 'Media relations', 'Billing', 'Healthcare', 'Content writing']","Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-4 Yrs
Executive / Asst. Manager PR,P. D Hinduja Hospital &amp;amp;amp;amp; Medical Research Centre,"['Contract Supervisor', 'Press release', 'Purchase Executive', 'Payroll', 'Pharma', 'Media relations', 'Billing', 'Healthcare']","Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-4 Yrs
Medical Representative,Amorvet,"['Trade', 'Usage', 'Interpersonal skills', 'Product promotion', 'Networking', 'Pharma', 'Healthcare', 'Life sciences']",Roorkee,0-2 Yrs
Medical Representative,Affluential Pharmaceuticals,"['Training', 'Pharma', 'Focus', 'Distribution channel management', 'Healthcare', 'Medical Representative', 'Medical', 'Management']",Dehradun,0-3 Yrs
Medical Representative,D'source,"['Basic', 'MIN', 'Sales', 'Diagnostics', 'Product service', 'Pharma', 'Healthcare', 'Scheduling']",Nasik/Nashik,0-1 Yrs
Medical Representative,Medical Job Solution,"['clinical psychology', 'Manager Client Servicing', 'Biotechnology', 'Transcription', 'Sales operations', 'Pharma', 'Pharma marketing', 'Pharma selling']","Bhagalpur, Muzaffarpur, Patna, Darbhanga, Gaya",0-2 Yrs
"HR Recruitment Executive - Pharma Recruitment Firm - Mulund, Mumbai",Division- Pharma Talent Search,"['recruitment', 'Sourcing', 'Recruitment Management', 'Talent Acquisition', 'job portals', 'Pharmaceutical', 'Management', 'Acquisition']","Mumbai Suburban, Maharashtra, Kalyan/ Dombivli, Maharashtra, Mumbai (All Areas)",0-1 Yrs
Telemarketing Sales Executive,Dhruvanth Solutions,"['Good Communication In English', 'Telugu', 'English', 'B2C Sales', 'Telesales', 'Bpo Voice', 'Telecalling', 'Hindi Speaking']","Karimnagar, Telangana, Warangal, Telangana, Hyderabad/ Secunderabad, Telangana(Ameerpet)",0-1 Yrs
"Pharmacy,Physiotherapy,Nursing,Pharma,BPT (Andhra & Telangana)",Owfis Jobpe Technologies,"['Biotechnology', 'Physiotherapy', 'Life Sciences', 'Nursing', 'B.Pharma', 'Microbiology', 'Zoology', 'Science']","Hyderabad, Telangana(Madhapur), Alleppey, Kerala, Ahmedabad, Chennai, Tamil Nadu, Vizianagaram, Andhra Pradesh, Delhi / NCR",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Development', 'Business development', 'Filing']","Dod Ballapur, Karnataka, Tumkur, Karnataka, Davangere, Karnataka",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Filing', 'Business development', 'Development']","Chitradurga, Karnataka, Chikkaballapura, Karnataka, Sira, Karnataka",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Business development', 'Development', 'Filing']","Mangaluru, Karnataka, Mysuru, Karnataka, Bengaluru, Karnataka",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Business development', 'Development', 'Filing']","Sirsa, Haryana, Rohtak, Haryana, Rewari, Haryana",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Filing', 'Development', 'Business development']","Panipat, Haryana, Palwal, Haryana, Panchkula, Haryana",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Development', 'Business development', 'Filing']","Mahendragarh, Haryana, Karnal, Haryana, Kurukshetra, Haryana",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Filing', 'Development', 'Business development']","Jind, Haryana, Jhajjar, Haryana, Kaithal, Haryana",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Filing', 'Business development', 'Development']","Ambala, Haryana, Hisar, Haryana, Bhiwani, Haryana",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Business development', 'Development', 'Filing']","Saharanpur, Uttar Pradesh, Moradabad, Uttar Pradesh, Muzaffarnagar, Uttar Pradesh",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Business development', 'Development', 'Filing']","Srinagar, Jammu & Kashmir, Udhampur, Jammu & Kashmir, Jammu, Jammu & Kashmir",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Filing', 'Development', 'Business development']","Hapur, Uttar Pradesh, Ghaziabad, Uttar Pradesh, Meerut, Uttar Pradesh",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Filing', 'Development', 'Business development']","Mathura, Uttar Pradesh, Agra, Uttar Pradesh, Firozabad, Uttar Pradesh",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Business development', 'Development', 'Filing']","Banswara, Rajasthan, Bharatpur, Rajasthan, Rajsamand, Rajasthan",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Development', 'Business development', 'Filing']","Tonk, Rajasthan, Churu, Rajasthan, Bhilwara, Rajasthan",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Development', 'Business development', 'Filing']","Hanumangarh, Rajasthan, Jhunjhunun, Rajasthan, Nagaur, Rajasthan",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Filing', 'Business development', 'Development']","Ajmer, Rajasthan, Jaipur, Rajasthan, Alwar, Rajasthan",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Filing', 'Development', 'Business development']","Uttarkashi, Uttarakhand, Pithoragarh, Uttarakhand, Rudrapur, Uttarakhand",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Development', 'Filing', 'Business development']","Haridwar, Uttarakhand, Dehradun, Uttarakhand, Nainital, Uttarakhand",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Filing', 'Business development', 'Development']","Almora, Uttarakhand, Bageshwar, Uttarakhand, Chamoli, Uttarakhand",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Development', 'Filing', 'Business development']","Kinnaur, Himachal Pradesh, Manali, Himachal Pradesh, Mandi, Himachal Pradesh",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Development', 'Business development', 'Filing']","Kangra, Himachal Pradesh, Hamirpur, Himachal Pradesh, Chamba, Himachal Pradesh",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Filing', 'Business development', 'Development']","Purnia, Bihar, Hazaribag, Jharkhand, Nalanda, Bihar",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Development', 'Business development', 'Filing']","Bhagalpur, Bihar, Muzaffarpur, Bihar, Begusarai, Bihar",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Filing', 'Business development', 'Development']","Ernakulam, Kerala, Kottayam, Kerala, Thiruvalla, Kerala",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Development', 'Business development', 'Filing']","Kannur, Kerala, Kottayam, Kerala, Thiruvananthapuram, Kerala",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Development', 'Business development', 'Filing']","Patna, Bihar, Ranchi, Jharkhand, Gaya, Bihar",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Development', 'Business development', 'Filing']","Bhubaneswar, Odisha, Bardhaman, West Bengal, Balasore, Odisha",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Business development', 'Development', 'Filing']","Bhopal, Madhya Pradesh, Indore, Madhya Pradesh, Jabalpur, Madhya Pradesh",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Development', 'Business development', 'Filing']","Chhindwara, Madhya Pradesh, Sagar, Madhya Pradesh, Singrauli, Madhya Pradesh",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Filing', 'Development', 'Business development']","Jalgaon, Maharashtra, Nanded, Maharashtra, Latur, Maharashtra",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Development', 'Business development', 'Filing']","Nashik, Maharashtra, Solapur, Maharashtra, Ahmednagar, Maharashtra",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Development', 'Business development', 'Filing']","Kharagpur, West Bengal, Asansol, West Bengal, Durgapur, West Bengal",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Business development', 'Development', 'Filing']","Guwahati, Assam, Kolkata, West Bengal, Dibrugarh, Assam",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Development', 'Business development', 'Filing']","Bharuch, Gujarat, Ahmedabad, Gujarat, Anand, Gujarat",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Filing', 'Business development', 'Development']","Vapi, Gujarat, Rajkot, Gujarat, Surat, Gujarat",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Filing', 'Development', 'Business development']","Yamunanagar, Haryana, Sonipat, Haryana, Gurugram, Haryana",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Development', 'Filing', 'Business development']","Noida, Uttar Pradesh, Hathras, Uttar Pradesh, Aligarh, Uttar Pradesh",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Filing', 'Business development', 'Development']","Siliguri, West Bengal, Durgapur, West Bengal, Darjeeling, West Bengal",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Filing', 'Business development', 'Development']","Nagpur, Maharashtra, Sangli, Maharashtra, Solapur, Maharashtra",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Development', 'Filing', 'Business development']","Kolkata, West Bengal, Patna, Bihar, Delhi / NCR",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Business development', 'Development', 'Filing']","Chhindwara, Madhya Pradesh, Gwalior, Madhya Pradesh, Ujjain, Madhya Pradesh",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Filing', 'Development', 'Business development']","Bhopal, Madhya Pradesh, Indore, Madhya Pradesh, Jabalpur, Madhya Pradesh",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Filing', 'Business development', 'Development']","Barang, Odisha, Dungarpur, Rajasthan, Bundi, Rajasthan",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Business development', 'Development', 'Filing']","Chittaurgarh, Rajasthan, Pali, Rajasthan, Sirohi, Rajasthan",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Business development', 'Development', 'Filing']","Kota, Rajasthan, Udaipur, Rajasthan, Bikaner, Rajasthan",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Filing', 'Development', 'Business development']","Sriganganagar, Rajasthan, Sikar, Rajasthan, Jodhpur, Rajasthan",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Development', 'Business development', 'Filing']","Solan, Himachal Pradesh, Shimla, Himachal Pradesh, Una, Himachal Pradesh",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Development', 'Business development', 'Filing']","Patiala, Punjab, Rupnagar, Punjab, Sangrur, Punjab",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Filing', 'Development', 'Business development']","Pathankot, Punjab, Mansa, Punjab, Moga, Punjab",0-4 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Filing', 'Development', 'Business development']","Ludhiana, Punjab, Malerkotla, Punjab, Kapurthala, Punjab",0-4 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Development', 'Filing', 'Business development']","Jalandhar, Punjab, Hoshiarpur, Punjab, Gurdaspur, Punjab",0-4 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Filing', 'Development', 'Business development']","Fatehgarh Sahib, Punjab, Faridkot, Punjab, Firozpur, Punjab",0-4 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Filing', 'Business development', 'Development']","Barnala, Punjab, Amritsar, Punjab, Bathinda, Punjab",0-4 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Filing', 'Business development', 'Development']","Bhubaneswar, Odisha, Cuttack, Odisha, Rajkot, Gujarat",0-5 Yrs
Business Development Executive /Sales officer/ Filed Sales Executive,Cyitechsearch Interactive Solutions,"['Sales', 'Filing', 'Business development', 'Development']","Kolhapur, Maharashtra, Sangli, Maharashtra, Jalna, Maharashtra",0-5 Yrs
Business Development Executive/Manager- Recruitment,Inventure Hr Solutions,"['Hospitality', 'Retail', 'Recruitment Executive', 'C', 'Networking', 'Relationship', 'Business Development Executive', 'HR']","Kolkata, Mumbai, Panjim, Hyderabad, Chennai",0-3 Yrs
Business Development/ Sales Executive,Blueberry Digital Labs,"['benefits', 'digital media', 'ug', 'english', 'business development', 'company', 'diploma', 'mba']",Hyderabad,0-4 Yrs
Retail Sales Executive,BIG C Mobiles,"['Retail Sales', 'Counter Sales', 'Showroom Sales', 'Sales Executive Activities', 'Sales', 'Retail', 'Showroom']",,
Assistant Manager/Sr. Executive- Sales Coordination For Pharma Company,Veko Care,"['Sales Coordination', 'CRM Management', 'Sales Support', 'Sales Operations', 'Payment Followup', 'Follow Ups', 'Salesforce CRM', 'Sales']","Pune, Maharashtra(Shivaji Nagar)",5-7 Yrs
Pharma Sales Executive,Integgral Corporate Service,"['Business Development', 'Lead Generation', 'Client Relationship Management', 'Sales Development', 'Business Development Management', 'Generation', 'Sales', 'Development management']","Panchkula, Haryana",0-3 Yrs
We have urgent vacancy in Electrical at Lee Pharma Ltd- MALE,Lee Pharma,"['Electricals', 'Pharmaceutical']","Hyderabad/ Secunderabad, Telangana",0-5 Yrs
Account Executive,GsT Suvidha Kendra,"['Gst', 'Auditing', 'Tally Accounting', 'TDS', 'SAP', 'Tally ERP', 'TDS Calculation', 'Gst Filing']","Hybrid - Hyderabad(Abids +11), Chennai(Abiramapuram), Thiruvananthapuram, Kerala",0-5 Yrs
Business Officer/ Medical Representative,Astrum Healthcare,"['Medical Representative', 'Medical']",Mumbai,0-3 Yrs
Territory Business Manager/Medical Representative,Astrazeneca,"['Sales', 'Sales Strategy', 'Scientific knowledge', 'Communication', 'Medical', 'Communication skills', 'Territory', 'Science']","Lucknow, Uttar Pradesh, Chennai, Tamil Nadu, Bengaluru",1-6 Yrs
Medical Sales Representative,SSP Solutions,"['Pharma Selling', 'Medical Rep', 'pharma', 'medical representative', 'Marketing', 'Pharmaceutical', 'Sales', 'Medical']","Ernakulam, Kerala, Nagpur, Maharashtra, New Delhi, Delhi, Barasat, West Bengal, Thrissur, Kerala, Jamshedpur, Jharkhand, Nellore, Andhra Pradesh, Surat, Gujarat, Delhi / NCR",1-2 Yrs
Medical Sales Representative,SSP Solutions,"['Pharma Selling', 'Medical Rep', 'pharma', 'medical representative', 'Marketing', 'Medical', 'Sales', 'Medical Sales']","Kolkata, West Bengal, Patna, Bihar, Gorakhpur, Uttar Pradesh, Tirunelveli, Tamil Nadu, Latur, Maharashtra, Ahmedabad, Gujarat, Tiruchirapalli, Tamil Nadu, Solapur, Maharashtra, Surat, Gujarat",1-2 Yrs
Sales Representative II/Territory Manager - EMG Surgical,Medtronic,"['Market development', 'Surgical', 'Sales', 'Sales Representative', 'Pharma', 'Manager Technology', 'Healthcare', 'Representative']",Panaji/Panjim,2-6 Yrs
Sales Representative II/ Territory Manager- Energy Based Devices,Medtronic,"['Surgical', 'Sales', 'Pharma', 'Healthcare', 'CME', 'Account management', 'Representative', 'Key account management']",Gurgaon/Gurugram,3-6 Yrs
Sales Representative II/Territory Manager,Medtronic,"['Sales', 'Networking', 'Pharma', 'Relationship building', 'Regional sales', 'Healthcare', 'Instrumentation', 'Representative']",Bangalore/Bengaluru,3-6 Yrs
Marketing / Sales / BDM Role !! Freshers Can Apple Now!!!,Meraki Organisation,"['marketing fresher', 'Marketing Campaigns', 'Marketing', 'Brand Marketing', 'effective communication', 'bba', 'Bms', 'Bm']",Hyderabad(Somajiguda),0-2 Yrs
Medical Representative - CNS,Intas,"['Good English Communication', 'Pharma Marketing', 'Pharmaceutical Sales', 'English', 'CNS', 'Medical', 'Marketing', 'Pharmaceutical']",Ahmedabad,0-5 Yrs
Hiring For Medical Representative,People Powered Solution,"['Medicine', 'MR', 'Pharma Selling', 'Medical Rep', 'Medical Sales', 'Pharmaceutical Sales', 'Hiring', 'Sales']","Kolhapur, Maharashtra, Sindhudurg, Maharashtra, Ratnagiri, Maharashtra",0-2 Yrs
Medical Representative - Saharanpur,Icpa Health Products,"['medical representative', 'Saharanpur', 'pharma sales', 'b.pharm', 'mr', '2021', '2020', 'sales']","Saharanpur, Uttar Pradesh",0-3 Yrs
Medical Representative - Srinagar,Icpa Health Products,"['Srinagar', 'medical representative', 'pharma sales', 'b.pharm', 'mr', '2021', '2020', 'sales']","Srinagar, Jammu & Kashmir",0-3 Yrs
Medical Representative - Ahmednagar,Icpa Health Products,"['Ahmednagar', 'medical representative', 'pharma sales', 'b.pharm', 'mr', '2021', '2020', 'sales']","Ahmednagar, Maharashtra",0-3 Yrs
Medical Representative - Dindigul,Icpa Health Products,"['medical representative', 'Dindigul', 'pharma sales', 'b.pharm', 'mr', '2021', '2020', 'sales']","Dindigul, Tamil Nadu",0-3 Yrs
Medical Representative - Bangalore,Sundyota Numandis Pharmaceuticals,"['pharma', 'medical', 'fso', 'mr', 'business executive', 'pharmaceuticals', 'pso', 'psr']","Bengaluru, Karnataka",0-1 Yrs
Medical Representative - Motihari,Icpa Health Products,"['medical representative', 'Motihari', 'pharma sales', 'b.pharm', 'mr', '2021', '2020', 'sales']","Motihari, Bihar",0-3 Yrs
Business Development Manager,CTL Blood Test Lab,"['Business communication', 'Costing', 'Sales', 'Diagnostics', 'Field sales', 'Pharma', 'Market intelligence', 'Database']","Mumbai, Navi Mumbai",0-2 Yrs
Business Development Executive (Sales),Super Scholar,"['Sales', 'Customer retention', 'Business Development Executive', 'A+', 'Sales Executive', 'Management', 'Development', 'Sales executive activities']","Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",0-2 Yrs
Business Development Manager,Varuna Integrated Logistics,"['Logistics FTL Sales', 'Generate leads for new client on boarding', 'business development', 'Sales', 'Development', 'Onboarding', 'Generation', 'Logistics']","Hyderabad, Telangana(Somajiguda)",2-5 Yrs
Unit Manager: Agency Sales Executive,ICICI Prudential Life,"['Training', 'Lead generation', 'Due diligence', 'Insurance sales', 'Agency sales', 'Finance', 'Sales Executive', 'Recruitment']",Hyderabad/Secunderabad,0-4 Yrs
Uegent Opening for Sales and Business Development Executive,Oakland Systems,"['benefits', 'pharmaceutical', 'it operations', 'prospecting', 'business development executive', 'sr business development', 'nursing', 'emr']",Nagpur,0-5 Yrs
Business Development Executive Healthcare Pharma Biotechnology,Leading Client,"['Business Development', 'Lead Generation', 'Client Acquisition', 'Client Relationship Management', 'Sales Development', 'sales', 'Client', 'Acquisition']",Delhi / NCR,2-4 Yrs
Business Development Executive Healthcare Pharma Biotechnology-USA,Leading Client,"['Business Development', 'biotechnology', 'Lead Generation', 'Client Relationship Management', 'us healthcare', 'sales strategy', 'industry analysis', 'Generation']",Bangalore/Bengaluru,3-5 Yrs
Business Development Executive Healthcare Pharma Biotechnology,Leading Client,"['Business Development', 'biotechnology', 'Lead Generation', 'sales strategy', 'market research', 'Research', 'Development', 'Healthcare']",Noida,2-5 Yrs
Territory Business Manager,Abbott,"['Pharma', 'Finance', 'Packaging', 'Research', 'Operations', 'Salesforce', 'Territory', 'Management']",Bangalore/Bengaluru,0-4 Yrs
Therapy Business Manager,Abbott,"['Brand Ambassador', 'Pharma', 'Relationship building', 'Supervision', 'Salesforce', 'Relationship', 'Brand', 'Pharmaceutical']",Chennai,0-5 Yrs
Territory Business Manager,Abbott,"['Pharma', 'Finance', 'Packaging', 'Market research', 'Operations', 'Salesforce', 'Research', 'Management']",Chennai,0-2 Yrs
Therapy Business Manager | GI Prospera,Abbott,"['Pharma', 'Finance', 'Packaging', 'Market research', 'Operations', 'Salesforce', 'Pharmaceutical', 'GI']",Remote,0-3 Yrs
Territory Business Manager,Abbott,"['Training', 'Brand Ambassador', 'Pharma', 'Analytical', 'Relationship building', 'Supervision', 'Salesforce', 'Relationship']",Ahmedabad,0-2 Yrs
Nutrition Officer ( Medical Representative),Signutra,"['customer connet', 'Sales', 'Selling Skills', 'nutrition sales', 'Business Development', 'Life Sciences', 'promotions', 'medical']","Visakhapatnam, Andhra Pradesh",1-3 Yrs
Nutrition Officer ( Medical Representative),Signutra,"['customer connet', 'Sales', 'Selling Skills', 'nutrition sales', 'Business Development', 'Life Sciences', 'promotions', 'medical']","Vadodara, Gujarat",1-3 Yrs
Nutrition Officer ( Medical Representative),Signutra,"['customer connet', 'Sales', 'Selling Skills', 'nutrition sales', 'Business Development', 'Life Sciences', 'promotions', 'medical']","Kannur, Kerala",1-3 Yrs
Nutrition Officer ( Medical Representative),Signutra,"['customer connet', 'Sales', 'Selling Skills', 'nutrition sales', 'Business Development', 'Life Sciences', 'promotions', 'medical']","Jabalpur, Madhya Pradesh",1-3 Yrs
Nutrition Officer ( Medical Representative),Signutra,"['customer connet', 'Sales', 'Selling Skills', 'nutrition sales', 'Business Development', 'Life Sciences', 'promotions', 'medical']","Coimbatore, Tamil Nadu",1-3 Yrs
Sales Engineer (Healthcare and Pharma) in Bangalore,Primohunt Corporate,"['Project management', 'Pharma', 'Analytical', 'Pharmacy', 'Healthcare', 'Customer service', 'GMP', 'Market survey']",Bangalore/Bengaluru,0-5 Yrs
Medical Representative Immediate opening in Bangalore & Hyderabad,Masadir Hr Services,"['Pharma Selling', 'Pharma Marketing', 'Pharmaceutical Sales', 'Sales', 'Pharmaceutical', 'Medical', 'Selling', 'Marketing']","Hyderabad, Telangana, Bangalore Rural, Karnataka",1-5 Yrs
Assistant Store Manager/Store Manager,Blinkit,"['Inventory Management', 'Inbound Logistics', 'Store Operations', 'Outbound Logistics', 'Last Mile Delivery', 'Logistics Operations', 'Manpower Handling', 'Warehouse Operations']","Hyderabad, Telangana(Sainikpuri +9)",1-6 Yrs
Business Development Executive / Area Sales Manager,Reelabs,"['Interpersonal skills', 'Area sales', 'Business Development Executive', 'Supervision', 'management', 'business development', 'area sales management', 'sales']",New Delhi,0-3 Yrs
