Job_Title,Company_name,Job_skills,Job_location,Company_Experience
Medical Representative(Cardioology Pharma Sales) in Baroda,Gadgeon Smart Systems,"['medical representative', 'cardiology', 'marketing', 'sales', 'neurology', 'Pharmaceutical', 'Medical', 'Pharma selling']",Vadodara,1-6 Yrs
Clinical Research Associate | Pharma MNC | Bengaluru,Hiring for - Leading Pharma MNC,"['Clinical Trials', 'Life Sciences', 'CRA', 'Clinical Research', 'Clinical Research Associate', 'Biotechnology', 'MedDRA', 'PSUR']","Mysuru, Karnataka, Koppal, Karnataka, Bengaluru, Karnataka",0-5 Yrs
Sales Executive (Medical Representative),Pathkind Labs ( Group Of Mankind Pharma),"['Diagnostics', 'Pharma Marketing', 'Pharmaceutical Sales', 'Healthcare Marketing', 'Doctor Activities', 'MS Office', 'Sales', 'Medical']","Ludhiana, Punjab",1-6 Yrs
Medical Representative  | Pharma Industry | Nariman Point,MJ Biopharm,"['Product Promotion', 'sales executive activities', 'Promotional Activity', 'Sales Strategy', 'Sales Development', 'Target', 'Medical Equipment Sales', 'Marketing']","Navi Mumbai, Maharashtra",3-5 Yrs
Therapy Manager / Medical representative / Medical sales,Masadir Hr Services,"['Medical Sales', 'MR', 'Pharma Selling', 'Territory Sales', 'Medical Rep', 'Sales And Marketing', 'Critical Care', 'Pharma Marketing']","Kolkata, West Bengal, Hyderabad, Telangana, Bengaluru, Karnataka",1-6 Yrs
Pharmacist | Leading Pharma Co. | Kolkata,Hiring for - Leading Pharma Co.,"['Pharmaceutics', 'Pharmaceutical', 'Pharmacy', 'Medical', 'Pharma Selling', 'Drug', 'Ayurveda', 'Dermatology']","Kolkata, West Bengal, Siliguri, West Bengal, Asansol, West Bengal",0-5 Yrs
QC Executive - Pharma API Industry,Prominent Consultant,"['Quality Control', 'QC', 'Pharma API', 'Control', 'API', 'Pharmaceutical', 'Quality']","Bharuch, Gujarat",3-8 Yrs
Sales Officer/ Medical Representative - Pharma,Mindful Hr Solutions,"['Sales', 'Pharma Marketing', 'Pharmaceutical Sales', 'Otc Sales', 'MR', 'Medical sales', 'OTC', 'Medical']","Ernakulam, Kerala, Hubli, Karnataka, Thrissur, Kerala, Kozhikode, Kerala, Thiruvananthapuram, Kerala",1-4 Yrs
Nutrition Officer ( Medical Representative),Signutra,"['customer connet', 'Sales', 'Selling Skills', 'nutrition sales', 'Business Development', 'Life Sciences', 'promotions', 'medical']","Chennai, Tamil Nadu",0-1 Yrs
Medical Representative (MR) Sales For Mumbai,Alkem Laboratories,"['Pharmaceutical Sales', 'Pharma Selling', 'Medicine', 'Healthcare Sales', 'Product Promotion', 'Medical Sales', 'MR', 'Field Work']","Navi Mumbai, Maharashtra, Mumbai (All Areas)",0-4 Yrs
Officer Quality Assurance (QMS-QC) Pharma Company,GenNext India Private Limited,"['osd', 'usfda', 'qms', 'formulation', 'Quality Assurance', 'Pharmaceutical', 'Company', 'Assurance']","Aurangabad, Maharashtra",5-6 Yrs
Manager Regulatory Affairs -Pharma - Pune,LKSA-Manager Regulatory  Affairs -Pharma-Pune,"['Regulatory Affairs', 'Regulatory Affairs Executive', 'Regulatory Compliance', 'Manager-Regulatory Affairs', 'Regulatory Reporting', 'PHARMA', 'PHARMACEUTICALS', 'Regulatory']",Pune(Shivaji Nagar),9-14 Yrs
Medical Representative | Top Pharma MNC,MyRCloud (Reccloud Technologies Private Limited),"['Pharma Selling', 'Medical Rep', 'Medical Sales', 'MR', 'Medical Representative', 'Pharma Marketing', 'TBM', 'Pharmaceutical Sales']","Udaipur, Rajasthan, Churu, Rajasthan, Ajmer, Rajasthan",1-6 Yrs
Field Sales Executive- Medical Representative,Anubha & Raman,"['Medical Rep', 'Sales Executive Activities', 'Field Sales', 'Field Sales Management', 'Target Achievement', 'MR', 'Field Marketing', 'Sales Promotion']","Noida, Uttar Pradesh, New Delhi(Munirka +1), Gurugram, Haryana",0-5 Yrs
"Sales Representative III/ Area Manager- Cardiac Surgery, Hyderabad",Medtronic,"['Biotechnology', 'Surgical', 'Sales', 'Data management', 'Pharma', 'Manager Technology', 'Healthcare', 'cardiac surgery']",Hyderabad/Secunderabad,7-9 Yrs
Therapy Business Manager - GI Optima,Abbott,"['Senior management', 'Pharma', 'Finance', 'Packaging', 'Market research', 'Operations', 'Salesforce', 'GI']",Mumbai,0-3 Yrs
GI Maxima -Territory Business Manager,Abbott,"['Senior management', 'Pharma', 'Finance', 'Packaging', 'Market research', 'Operations', 'Salesforce', 'Senior']",Mumbai,0-3 Yrs
Medical Representative,The Ruby Mills Ltd,"['pharma sales', 'Medical sales', 'Microbiology', 'pharmacist', 'Medical Representative', 'medical marketing', 'Sales', 'Pharma selling']","Mumbai, Nagpur, Chandigarh, Pune, Ahmedabad, Delhi / NCR",0-2 Yrs
Business Development Executive - Pharma Sales,Eraas International,"['Sales', 'pharma selling', 'business development', 'Pharmaceutical Sales', 'Selling', 'Pharmaceutical', 'Development']",New Delhi,0-2 Yrs
Medical Representative/Sales Executive / BDE,SnappyHire Private Limited,"['Bde', 'Medical Rep', 'Pharma Marketing', 'executive', 'Sales And Marketing', 'Medical', 'Sales', 'Sales executive activities']",Hybrid - Mumbai (All Areas),0-1 Yrs
Medical Representative,The Ruby Mills Ltd,"['Sales', 'medical sales', 'pharma sales', 'pharmacist', 'Medical Representative', 'medical marketing', 'Marketing', 'Medical']","Mumbai, Hyderabad/Secunderabad, Navi Mumbai",0-2 Yrs
Openings For Medical Representative - Western Mumbai,Dhanashree Organics,"['Medical Sales', 'MR', 'Pharma Selling', 'Healthcare Sales', 'Herbal Sales', 'Ayurveda', 'Medical Rep', 'Nutrition']","Mumbai Suburban, Maharashtra",0-5 Yrs
Executive Sales Officer,Muthoot Finance,"['Insurance Sales', 'Sales executive activities', 'Sales', 'Insurance']",Hyderabad(Malakpet),0-2 Yrs
Regulatory Officer -Pharma -  Pune,A client of L K Saddi Associates,"['Regulatory Affairs', 'Regulatory Affairs Executive', 'Regulatory Affairs Officer', 'Regulatory Compliance', 'Regulatory Reporting', 'PHARMA', 'PHARMACEUTICALS', 'Formulation']",Pune(Shivaji Nagar),4-8 Yrs
