Job_Title,Company_name,Job_location,Company_Experience,Job_skills
Cloud Software Engineering Manager,Intel,Bangalore/Bengaluru,8-11 Yrs,"['Cloud Software Engineering', 'Jenkins', 'Software Development Life Cycle', 'Java', 'C++', 'data science', 'Docker', 'GitHub']"
Associate Cloud Operations Engineer II,Powerschool India,Bangalore/Bengaluru,2-6 Yrs,"['Cloud computing', 'Root cause analysis', 'orchestration', 'Configuration management', 'Customer support', 'Troubleshooting', 'SQL', 'System administration']"
Cloud Engineer,Lucy Electric,Vadodara,1-4 Yrs,"['Analytical skills', 'Cloud computing', 'Root cause analysis', 'Automation', 'Interpersonal skills', 'Networking protocols', 'GCP', 'Infrastructure']"
Hiring Freshers on DevOps | DevOps Engineer | Devops Developer,Aficionado Technologies,"Hyderabad/Secunderabad, Pune, Maharashtra, Bangalore/Bengaluru",0-0 Yrs,"['Aws Devops', 'Devops Tools', 'Development', 'Devops', 'Azure Devops', 'Ansible', 'Ci/Cd', 'AWS']"
Trainee Software Engineer,Citiustech,Mumbai,0-1 Yrs,"['Cloud computing', 'Automation', 'Manager Quality Assurance', 'Coding', 'Enterprise applications', 'Performance testing', 'Agile', 'Healthcare']"
Cloud & Devops Engineer,Qualitykiosk Technologies,"Navi Mumbai, Maharashtra, Mumbai (All Areas)",4-9 Yrs,"['Terraform', 'Azure DevOps', 'Docker', 'and cloud computing', 'Computation', 'Cloud', 'Microsoft Azure', 'Cloud computing']"
Aws Cloud Developer,Skillety,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-8 Yrs,"['Patch management', 'Cloud computing', 'Interpersonal skills', 'Linux', 'Staffing', 'Windows Server Administration', 'Project management', 'Billing']"
Php Developer,Bizionic Technologies  Marketing Solutions Privat E Limited,Hyderabad(Somajiguda),2-7 Yrs,"['Php Laravel', 'Php Core', 'Php Programming', 'Laravel Php Framework', 'Php Development', 'Php Web Development', 'lara', 'PHP']"
Senior Software Engineer - Backend Developer,"Riversand Technologies, Inc.","Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4-8 Yrs,"['Cloud computing', 'Backend', 'XML', 'Agile', 'JSON', 'Visual Studio', 'Stored procedures', 'microsoft']"
Backend Engineer,Locad,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",0-2 Yrs,"['Supply chain', 'Cloud computing', 'Health insurance', 'Backend', 'Architecture', 'Coding', 'Application software', 'AWS']"
